Epoch 1, 14% 	 train_loss_228_batch: 1.3370 	 took: 4.9586s 
Epoch 1, 14% 	 train_loss_229_batch: 0.6658 	 took: 1.6631s 
Epoch 1, 14% 	 train_loss_230_batch: 0.9292 	 took: 2.7781s 
Epoch 1, 14% 	 train_loss_231_batch: 0.7590 	 took: 3.0338s 
Epoch 1, 14% 	 train_loss_232_batch: 0.9038 	 took: 2.5588s 
Epoch 1, 14% 	 train_loss_233_batch: 0.7959 	 took: 3.5829s 
Epoch 1, 14% 	 train_loss_234_batch: 1.2147 	 took: 8.5177s 
Epoch 1, 14% 	 train_loss_235_batch: 0.6394 	 took: 1.9824s 
Epoch 1, 14% 	 train_loss_236_batch: 0.9251 	 took: 2.3769s 
Epoch 1, 14% 	 train_loss_237_batch: 1.1651 	 took: 3.1174s 
Epoch 1, 15% 	 train_loss_238_batch: 0.7631 	 took: 2.6209s 
Epoch 1, 15% 	 train_loss_239_batch: 1.2056 	 took: 2.5587s 
Epoch 1, 15% 	 train_loss_240_batch: 0.8079 	 took: 2.5897s 
Epoch 1, 15% 	 train_loss_241_batch: 1.2147 	 took: 2.8583s 
Epoch 1, 15% 	 train_loss_242_batch: 0.7219 	 took: 3.7801s 
Epoch 1, 15% 	 train_loss_243_batch: 1.2449 	 took: 3.4578s 
Epoch 1, 15% 	 train_loss_244_batch: 0.5801 	 took: 2.9630s 
Epoch 1, 15% 	 train_loss_245_batch: 0.8040 	 took: 1.8955s 
Epoch 1, 15% 	 train_loss_246_batch: 0.8500 	 took: 1.8267s 
Epoch 1, 15% 	 train_loss_247_batch: 1.1414 	 took: 2.6985s 
Epoch 1, 15% 	 train_loss_248_batch: 0.5173 	 took: 1.8955s 
Epoch 1, 15% 	 train_loss_249_batch: 1.0036 	 took: 1.5614s 
Epoch 1, 15% 	 train_loss_250_batch: 0.8464 	 took: 2.6610s 
Epoch 1, 15% 	 train_loss_251_batch: 0.7035 	 took: 2.5094s 
Epoch 1, 15% 	 train_loss_252_batch: 1.1721 	 took: 3.0291s 
Epoch 1, 15% 	 train_loss_253_batch: 0.6224 	 took: 3.3072s 
Epoch 1, 16% 	 train_loss_254_batch: 0.8295 	 took: 1.4522s 
Epoch 1, 16% 	 train_loss_255_batch: 0.6628 	 took: 1.4742s 
Epoch 1, 16% 	 train_loss_256_batch: 0.6506 	 took: 4.7537s 
Epoch 1, 16% 	 train_loss_257_batch: 0.6553 	 took: 3.1968s 
Epoch 1, 16% 	 train_loss_258_batch: 1.1948 	 took: 2.4726s 
Epoch 1, 16% 	 train_loss_259_batch: 1.0012 	 took: 2.9982s 
Epoch 1, 16% 	 train_loss_260_batch: 1.3503 	 took: 2.8472s 
Epoch 1, 16% 	 train_loss_261_batch: 0.6465 	 took: 2.5796s 
Epoch 1, 16% 	 train_loss_262_batch: 0.9784 	 took: 2.7169s 
Epoch 1, 16% 	 train_loss_263_batch: 1.4677 	 took: 2.7397s 
Epoch 1, 16% 	 train_loss_264_batch: 0.5773 	 took: 2.6493s 
Epoch 1, 16% 	 train_loss_265_batch: 0.8198 	 took: 4.6761s 
Epoch 1, 16% 	 train_loss_266_batch: 0.6664 	 took: 2.9451s 
Epoch 1, 16% 	 train_loss_267_batch: 0.8174 	 took: 2.6898s 
Epoch 1, 16% 	 train_loss_268_batch: 1.2182 	 took: 2.7164s 
Epoch 1, 16% 	 train_loss_269_batch: 1.2444 	 took: 4.4865s 
Epoch 1, 17% 	 train_loss_270_batch: 1.2270 	 took: 2.5639s 
Epoch 1, 17% 	 train_loss_271_batch: 0.9557 	 took: 1.5778s 
Epoch 1, 17% 	 train_loss_272_batch: 0.8210 	 took: 1.9388s 
Epoch 1, 17% 	 train_loss_273_batch: 1.2376 	 took: 2.4952s 
Epoch 1, 17% 	 train_loss_274_batch: 0.8480 	 took: 3.6513s 
Epoch 1, 17% 	 train_loss_275_batch: 0.7215 	 took: 4.8463s 
Epoch 1, 17% 	 train_loss_276_batch: 1.0631 	 took: 2.1598s 
Epoch 1, 17% 	 train_loss_277_batch: 1.0873 	 took: 4.2322s 
Epoch 1, 17% 	 train_loss_278_batch: 0.4699 	 took: 2.0569s 
Epoch 1, 17% 	 train_loss_279_batch: 0.9667 	 took: 1.6087s 
Epoch 1, 17% 	 train_loss_280_batch: 1.4702 	 took: 2.1364s 
Epoch 1, 17% 	 train_loss_281_batch: 1.0178 	 took: 2.2188s 
Epoch 1, 17% 	 train_loss_282_batch: 0.9964 	 took: 3.6659s 
Epoch 1, 17% 	 train_loss_283_batch: 0.6212 	 took: 4.8133s 
Epoch 1, 17% 	 train_loss_284_batch: 0.8787 	 took: 2.0801s 
Epoch 1, 17% 	 train_loss_285_batch: 1.1464 	 took: 2.0374s 
Epoch 1, 18% 	 train_loss_286_batch: 0.7668 	 took: 4.7076s 
Epoch 1, 18% 	 train_loss_287_batch: 0.8237 	 took: 7.5166s 
Epoch 1, 18% 	 train_loss_288_batch: 1.1716 	 took: 2.4138s 
Epoch 1, 18% 	 train_loss_289_batch: 0.9112 	 took: 1.9882s 
Epoch 1, 18% 	 train_loss_290_batch: 1.2691 	 took: 2.3584s 
Epoch 1, 18% 	 train_loss_291_batch: 1.0924 	 took: 2.0696s 
Epoch 1, 18% 	 train_loss_292_batch: 0.8474 	 took: 1.9974s 
Epoch 1, 18% 	 train_loss_293_batch: 0.9972 	 took: 1.9324s 
Epoch 1, 18% 	 train_loss_294_batch: 0.7534 	 took: 1.9603s 
Epoch 1, 18% 	 train_loss_295_batch: 0.8331 	 took: 1.8280s 
Epoch 1, 18% 	 train_loss_296_batch: 0.7522 	 took: 1.9505s 
Epoch 1, 18% 	 train_loss_297_batch: 0.5566 	 took: 2.0228s 
Epoch 1, 18% 	 train_loss_298_batch: 0.5745 	 took: 2.1410s 
Epoch 1, 18% 	 train_loss_299_batch: 1.1647 	 took: 2.4661s 
Epoch 1, 18% 	 train_loss_300_batch: 1.0733 	 took: 2.1316s 
Epoch 1, 19% 	 train_loss_301_batch: 0.4655 	 took: 1.6197s 
Epoch 1, 19% 	 train_loss_302_batch: 0.6294 	 took: 2.2290s 
Epoch 1, 19% 	 train_loss_303_batch: 0.6347 	 took: 2.3664s 
Epoch 1, 19% 	 train_loss_304_batch: 1.0057 	 took: 2.6329s 
Epoch 1, 19% 	 train_loss_305_batch: 1.5191 	 took: 3.8068s 
Epoch 1, 19% 	 train_loss_306_batch: 0.7843 	 took: 1.7711s 
Epoch 1, 19% 	 train_loss_307_batch: 1.0987 	 took: 2.3582s 
Epoch 1, 19% 	 train_loss_308_batch: 0.6955 	 took: 1.6409s 
Epoch 1, 19% 	 train_loss_309_batch: 1.0843 	 took: 4.0148s 
Epoch 1, 19% 	 train_loss_310_batch: 0.7264 	 took: 2.8543s 
Epoch 1, 19% 	 train_loss_311_batch: 0.8408 	 took: 1.6544s 
Epoch 1, 19% 	 train_loss_312_batch: 0.7709 	 took: 3.0780s 
Epoch 1, 19% 	 train_loss_313_batch: 0.8217 	 took: 1.6680s 
Epoch 1, 19% 	 train_loss_314_batch: 0.8623 	 took: 2.3790s 
Epoch 1, 19% 	 train_loss_315_batch: 0.8210 	 took: 2.4100s 
Epoch 1, 19% 	 train_loss_316_batch: 0.5214 	 took: 1.8438s 
Epoch 1, 20% 	 train_loss_317_batch: 1.0007 	 took: 1.4975s 
Epoch 1, 20% 	 train_loss_318_batch: 0.8279 	 took: 2.3332s 
Epoch 1, 20% 	 train_loss_319_batch: 0.9683 	 took: 3.2010s 
Epoch 1, 20% 	 train_loss_320_batch: 0.7909 	 took: 2.6631s 
Epoch 1, 20% 	 train_loss_321_batch: 1.6878 	 took: 2.7129s 
Epoch 1, 20% 	 train_loss_322_batch: 1.0680 	 took: 2.5683s 
Epoch 1, 20% 	 train_loss_323_batch: 1.0281 	 took: 2.5755s 
Epoch 1, 20% 	 train_loss_324_batch: 0.7045 	 took: 2.9576s 
Epoch 1, 20% 	 train_loss_325_batch: 0.8330 	 took: 2.1711s 
Epoch 1, 20% 	 train_loss_326_batch: 0.5394 	 took: 2.3182s 
Epoch 1, 20% 	 train_loss_327_batch: 0.9095 	 took: 1.4681s 
Epoch 1, 20% 	 train_loss_328_batch: 0.9743 	 took: 2.1428s 
Epoch 1, 20% 	 train_loss_329_batch: 0.7106 	 took: 2.8044s 
Epoch 1, 20% 	 train_loss_330_batch: 0.5399 	 took: 2.5992s 
Epoch 1, 20% 	 train_loss_331_batch: 0.5055 	 took: 1.8298s 
Epoch 1, 20% 	 train_loss_332_batch: 0.6835 	 took: 1.7434s 
Epoch 1, 21% 	 train_loss_333_batch: 0.6640 	 took: 1.4962s 
Epoch 1, 21% 	 train_loss_334_batch: 0.7206 	 took: 3.7830s 
Epoch 1, 21% 	 train_loss_335_batch: 0.6215 	 took: 1.4877s 
Epoch 1, 21% 	 train_loss_336_batch: 0.5314 	 took: 4.0380s 
Epoch 1, 21% 	 train_loss_337_batch: 0.7243 	 took: 2.5427s 
Epoch 1, 21% 	 train_loss_338_batch: 0.9129 	 took: 2.2316s 
Epoch 1, 21% 	 train_loss_339_batch: 1.0610 	 took: 2.4704s 
